Date,AAPL,MSFT,QQQ,SPY,TLT
2023-05-22,171.94989013671875,314.4356689453125,331.7553405761719,403.0041198730469,89.1090316772461
2023-05-23,169.34400939941406,308.63995361328125,327.5498962402344,398.4812927246094,89.36553955078125
2023-05-24,169.620361328125,307.2596435546875,325.8697814941406,395.5943298339844,88.92326354980469
2023-05-25,170.75550842285156,319.0761413574219,333.799072265625,399.0202331542969,88.70216369628906
2023-05-26,173.1640167236328,325.89971923828125,342.3277893066406,404.187744140625,89.41863250732422
2023-05-30,175.00987243652344,324.25506591796875,343.8802795410156,404.3417053222656,90.31201171875
2023-05-31,174.96047973632812,321.49432373046875,341.9250183105469,402.0995788574219,91.09923553466797
2023-06-01,177.76382446289062,325.5963134765625,345.87481689453125,405.919921875,91.4566650390625
2023-06-02,178.61270141601562,328.3570861816406,348.4689025878906,411.7900085449219,90.45448303222656
2023-06-05,177.26040649414062,328.8857727050781,348.7145080566406,411.0008544921875,90.28599548339844
2023-06-06,176.8951873779297,326.6731872558594,348.6555480957031,411.89581298828125,90.8180923461914
2023-06-07,175.52313232421875,316.5894470214844,342.740478515625,410.4715576171875,89.47001647949219
2023-06-08,178.23760986328125,318.4300231933594,346.9949645996094,412.9543762207031,90.51654815673828
2023-06-09,178.62257385253906,319.9278564453125,348.3214416503906,413.6953125,90.39239501953125
2023-06-12,181.41604614257812,324.8815612792969,354.20709228515625,417.4483337402344,90.65848541259766
2023-06-13,180.94223022460938,327.2703857421875,356.92877197265625,420.20050048828125,89.7627182006836
2023-06-14,181.57395935058594,330.25628662109375,359.5227966308594,420.70098876953125,90.4810791015625
2023-06-15,183.60733032226562,340.7904052734375,363.8067626953125,425.91656494140625,91.35025787353516
2023-06-16,182.53140258789062,335.14154052734375,361.51739501953125,424.4658508300781,90.99546813964844
2023-06-20,182.62025451660156,330.95147705078125,360.9998779296875,422.2636413574219,91.62519836425781
2023-06-21,181.5838165283203,326.55572509765625,356.080322265625,420.10009765625,91.846923828125
2023-06-22,184.58456420898438,332.5765686035156,360.2816162109375,421.6165771484375,90.73829650878906
2023-06-23,184.26869201660156,327.98504638671875,356.7099914550781,418.4290771484375,91.6429214477539
2023-06-26,182.8769073486328,321.6998596191406,351.9281311035156,416.719482421875,91.7405014038086
2023-06-27,185.63084411621094,327.5445251464844,357.97918701171875,421.2881164550781,91.50101470947266
2023-06-28,186.8054962158203,328.7976379394531,358.6778564453125,421.5006103515625,91.89126586914062
2023-06-29,187.14109802246094,328.01434326171875,357.95947265625,423.16192626953125,90.23275756835938
2023-06-30,191.4645538330078,333.3891296386719,363.4793701171875,428.1554870605469,91.29704284667969
2023-07-03,189.97406005859375,330.8926696777344,364.33538818359375,428.6480407714844,90.77947998046875
2023-07-05,188.858642578125,331.04931640625,364.3254699707031,428.0106506347656,89.91683959960938
2023-07-06,189.3324432373047,334.1037292480469,361.5509033203125,424.6590576171875,88.64515686035156
2023-07-07,188.217041015625,330.13885498046875,360.3504638671875,423.5869140625,88.11158752441406
2023-07-10,186.17376708984375,324.86199951171875,360.46856689453125,424.6590576171875,88.22718048095703
2023-07-11,185.65061950683594,325.4886169433594,362.2494201660156,427.3634948730469,88.68072509765625
2023-07-12,187.31878662109375,330.1192626953125,366.8246765136719,430.802001953125,89.6678466796875
2023-07-13,188.07884216308594,335.464599609375,373.0528259277344,434.2212219238281,90.61048889160156
2023-07-14,188.22689819335938,337.99041748046875,372.97412109375,433.9508056640625,90.07691192626953
2023-07-17,191.48426818847656,338.47015380859375,376.4572448730469,435.4576110839844,90.12140655517578
2023-07-18,191.22763061523438,351.94122314453125,379.5368957519531,438.6932678222656,90.53047943115234
2023-07-19,192.57992553710938,347.6238098144531,379.4483642578125,439.66888427734375,91.55315399169922
2023-07-20,190.63540649414062,339.586181640625,370.7013244628906,436.7518310546875,90.44152069091797
2023-07-21,189.4607391357422,336.5513000488281,369.5895080566406,436.7518310546875,90.46820831298828
2023-07-24,190.26028442382812,337.8631286621094,370.1799011230469,438.70294189453125,90.13915252685547
2023-07-25,191.11904907226562,343.60992431640625,372.6888122558594,439.9006042480469,89.9701919555664
2023-07-26,191.98765563964844,330.67724609375,371.44903564453125,439.96826171875,90.05912017822266
2023-07-27,190.72421264648438,323.7752685546875,370.56353759765625,437.0512390136719,88.30721282958984
2023-07-28,193.30050659179688,331.26470947265625,377.3132629394531,441.3301696777344,88.76075744628906
2023-07-31,193.91249084472656,328.8661804199219,377.5099792480469,442.1705017089844,88.97418975830078
2023-08-01,193.08334350585938,329.2773132324219,376.63427734375,440.90509033203125,87.51618194580078
2023-08-02,190.09246826171875,320.62298583984375,368.36944580078125,434.77178955078125,86.57984924316406
2023-08-03,188.70069885253906,319.80059814453125,367.7790832519531,433.5257568359375,84.58232879638672
2023-08-04,179.6392822265625,320.89703369140625,366.05718994140625,431.5650634765625,86.08045959472656
2023-08-07,176.53982543945312,323.17816162109375,369.15655517578125,435.3320007324219,85.23330688476562
2023-08-08,177.47755432128906,319.2033996582031,366.0178527832031,433.4389343261719,86.22315216064453
2023-08-09,175.8883819580078,315.4635925292969,361.99359130859375,430.541259765625,86.6690444946289
2023-08-10,175.6711883544922,316.14892578125,362.6626892089844,430.6957702636719,85.24220275878906
2023-08-11,175.73049926757812,314.26922607421875,360.3504638671875,430.4447326660156,85.04603576660156
2023-08-14,177.3811798095703,317.23565673828125,364.3943786621094,432.82073974609375,84.85879516601562
2023-08-15,175.3944091796875,315.1013488769531,360.5275573730469,427.7788391113281,84.341552734375
2023-08-16,174.52462768554688,314.33612060546875,356.7099914550781,424.63970947265625,83.68165588378906
2023-08-17,171.9844207763672,310.88275146484375,352.8135986328125,421.4040222167969,83.32496643066406
2023-08-18,172.46875,310.4903564453125,352.3708801269531,421.6069030761719,83.6192398071289
2023-08-21,173.8031005859375,315.78814697265625,358.0481262207031,424.3499755859375,82.50456237792969
2023-08-22,175.17698669433594,316.3571472167969,357.53643798828125,423.2005920410156,83.13770294189453
2023-08-23,179.0219268798828,320.8111877441406,363.17431640625,427.9140319824219,85.1976089477539
2023-08-24,174.33685302734375,313.914306640625,355.41119384765625,421.98358154296875,84.63584899902344
2023-08-25,176.54100036621094,316.8673400878906,358.1661071777344,424.95849609375,84.91228485107422
2023-08-28,178.10272216796875,317.57373046875,360.8620910644531,427.6532897949219,85.00145721435547
2023-08-29,181.9871826171875,322.194580078125,368.7433166503906,433.8349304199219,85.88427734375
2023-08-30,185.4762725830078,322.5673828125,370.7996826171875,435.6217956542969,85.79511260986328
2023-08-31,185.6937255859375,321.55682373046875,371.9114685058594,434.9842834472656,86.17855834960938
2023-09-01,187.26531982421875,322.4398193359375,371.5179443359375,435.795654296875,84.83602905273438
2023-09-05,187.50254821777344,327.23724365234375,371.990234375,433.9122009277344,83.64643859863281
2023-09-06,180.7912139892578,326.58001708984375,368.71380615234375,430.9951477050781,83.85218048095703
2023-09-07,175.50315856933594,323.6661682128906,366.076904296875,429.67193603515625,84.084716796875
2023-09-08,176.11598205566406,327.9436340332031,366.5885009765625,430.319091796875,84.40668487548828
2023-09-11,177.2823028564453,331.5442199707031,370.9079284667969,433.1490783691406,83.79851531982422
2023-09-12,174.25778198242188,325.490966796875,366.7951965332031,430.7730712890625,84.28150177001953
2023-09-13,172.1920166015625,329.69976806640625,368.1922912597656,431.27532958984375,84.26358795166016
2023-09-14,173.7042694091797,332.289794921875,371.20306396484375,434.993896484375,83.65540313720703
2023-09-15,172.9827117919922,323.9702453613281,364.84698486328125,429.75299072265625,83.14556121826172
2023-09-18,175.90841674804688,322.83221435546875,365.2273254394531,430.0050048828125,83.61961364746094
2023-09-19,176.99569702148438,322.4300231933594,364.44891357421875,429.1133117675781,83.00245666503906
2023-09-20,173.4571533203125,314.6991271972656,359.1970520019531,425.1683349609375,83.2618179321289
2023-09-21,171.91522216796875,313.48260498046875,352.61492919921875,418.1409606933594,81.12417602539062
2023-09-22,172.7652587890625,311.0103454589844,352.6642150878906,417.20074462890625,81.777099609375
2023-09-25,174.04029846191406,311.5303039550781,354.3392639160156,418.95513916015625,79.76465606689453
2023-09-26,169.96804809570312,306.23248291015625,349.0184631347656,412.8002014160156,79.48738098144531
2023-09-27,168.45574951171875,306.87017822265625,349.83624267578125,412.9649658203125,79.0759506225586
2023-09-28,168.71273803710938,307.7041320800781,352.7627258300781,415.35906982421875,79.31742858886719
2023-09-29,169.22674560546875,309.7741394042969,353.0189514160156,414.35107421875,79.3263931274414
2023-10-02,171.73728942871094,315.7096862792969,355.9651184082031,414.18621826171875,77.99842071533203
